row,age,username,gender,city,state,zip,lat,lng,freq,services,hulu,youtube,Apple TV+,FX,netflix,fuboTV,amazon,PlutoTV,Discovery+,Starz,Showtime,Philo,Crackle,CBS All Access,IMDb TV,Disney+,HBO MAX,NBC,Rent or Buy,FOX,Peacock,Tubi
18,77,shante_sibley,Female,Plessis,NY,13675,44.2774,-75.8496,3-FEWER_THREE_PER_MONTH,{'PlutoTV': 1},,,,,,,,1.0,,,,,,,,,,,,,,
19,21,trenton_broyles,Male,Albany,OR,97321,44.652,-123.1333,1-DAILY,"{'hulu': 1, 'youtube': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
21,39,roxanna_tallent,Female,Chittenango,NY,13037,43.0552,-75.8768,2-FEW_TIMES_WEEK,"{'youtube': 1, 'netflix': 1}",,1.0,,,1.0,,,,,,,,,,,,,,,,,
22,67,christin_erickson,Female,Brunswick,GA,31524,31.222,-81.4826,3-FEWER_THREE_PER_MONTH,{'fuboTV': 1},,,,,,1.0,,,,,,,,,,,,,,,,
23,46,lyndon_wallace,Male,Venice,LA,70091,29.2659,-89.3761,3-FEWER_THREE_PER_MONTH,{'Discovery+': 1},,,,,,,,,1.0,,,,,,,,,,,,,
24,31,mose_neill,Male,Pittsburgh,PA,15276,40.4344,-80.0248,1-DAILY,"{'netflix': 1, 'youtube': 1}",,1.0,,,1.0,,,,,,,,,,,,,,,,,
26,47,therese_fountain,Female,Brinsmade,ND,58320,,,2-FEW_TIMES_WEEK,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
27,69,israel_ortega,Male,Avis,PA,17721,41.18600000000001,-77.3162,2-FEW_TIMES_WEEK,"{'amazon': 1, 'netflix': 1}",,,,,1.0,,1.0,,,,,,,,,,,,,,,
28,67,teri_wicker,Female,Rancho Cordova,CA,95742,38.5981,-121.2153,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
29,69,gena_mccord,Female,Washington,DC,20211,38.8933,-77.0146,1-DAILY,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
30,27,morris_beeler,Male,East Meredith,NY,13757,42.4101,-74.8987,3-FEWER_THREE_PER_MONTH,"{'amazon': 1, 'hulu': 1}",1.0,,,,,,1.0,,,,,,,,,,,,,,,
31,53,dianne_byrne,Female,Winsted,MN,55395,44.9585,-94.0552,2-FEW_TIMES_WEEK,"{'hulu': 1, 'netflix': 1}",1.0,,,,1.0,,,,,,,,,,,,,,,,,
32,31,marcus_lachance,Male,Rural Hall,NC,27099,36.2404,-80.2934,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
33,74,king_folsom,Male,Roland,IA,50236,42.1646,-93.5063,1-DAILY,"{'netflix': 1, 'youtube': 1}",,1.0,,,1.0,,,,,,,,,,,,,,,,,
34,40,lessie_conaway,Female,Mars Hill,ME,04758,46.5223,-67.863,2-FEW_TIMES_WEEK,"{'fuboTV': 1, 'netflix': 1}",,,,,1.0,1.0,,,,,,,,,,,,,,,,
35,52,frankie_vickers,Male,Sorrento,LA,70778,30.1854,-90.8631,3-FEWER_THREE_PER_MONTH,{'Starz': 1},,,,,,,,,,1.0,,,,,,,,,,,,
36,61,alma_shanahan,Female,Cordova,TN,38018,35.1556,-89.7762,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
37,73,clarice_rodman,Female,Baton Rouge,LA,70822,30.5159,-91.0804,3-FEWER_THREE_PER_MONTH,"{'Showtime': 1, 'youtube': 1}",,1.0,,,,,,,,,1.0,,,,,,,,,,,
38,51,roxanna_cardenas,Female,Terre Haute,IN,47807,39.471,-87.4009,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
39,56,delmar_stanfield,Male,Houston,TX,77259,29.834,-95.4342,3-FEWER_THREE_PER_MONTH,"{'Philo': 1, 'netflix': 1}",,,,,1.0,,,,,,,1.0,,,,,,,,,,
40,74,jeffrey_snyder,Male,Artemus,KY,40903,36.8388,-83.8329,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
41,27,sammie_vanburen,Female,Plentywood,MT,59254,48.7788,-104.56,3-FEWER_THREE_PER_MONTH,"{'netflix': 1, 'Crackle': 1}",,,,,1.0,,,,,,,,1.0,,,,,,,,,
42,19,janine_hilliard,Female,Cantrall,IL,62625,39.9169,-89.6891,3-FEWER_THREE_PER_MONTH,"{'Starz': 1, 'netflix': 1, 'amazon': 1}",,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,
43,58,carla_tamayo,Female,Craigsville,VA,24430,38.0768,-79.3619,1-DAILY,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
44,26,taryn_beamon,Female,Blue River,OR,97413,44.1755,-122.1217,1-DAILY,"{'hulu': 1, 'youtube': 1, 'netflix': 1}",1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
45,47,rafael_macleod,Male,Bear Creek,NC,27207,35.6129,-79.3726,3-FEWER_THREE_PER_MONTH,"{'amazon': 1, 'FX': 1}",,,,1.0,,,1.0,,,,,,,,,,,,,,,
47,51,denice_slaughter,Female,Hickam Afb,HI,96853,21.4061,-157.9609,3-FEWER_THREE_PER_MONTH,"{'netflix': 1, 'Philo': 1, 'CBS All Access': 1}",,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,
48,35,ahmed_kirk,Male,Colorado Springs,CO,80903,38.8388,-104.8145,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
49,27,aura_legg,Female,Washington,DC,20044,38.8933,-77.0146,1-DAILY,"{'netflix': 1, 'hulu': 1, 'youtube': 1}",1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
50,35,wendi_lindstrom,Female,Belmont,CA,94003,,,1-DAILY,"{'amazon': 1, 'hulu': 1}",1.0,,,,,,1.0,,,,,,,,,,,,,,,
51,43,misti_schiller,Female,Alston,GA,30412,32.0775,-82.4825,3-FEWER_THREE_PER_MONTH,"{'hulu': 1, 'Discovery+': 1}",1.0,,,,,,,,1.0,,,,,,,,,,,,,
52,51,ezekiel_sibley,Male,North Branch,NY,12766,41.8142,-74.9824,2-FEW_TIMES_WEEK,"{'fuboTV': 1, 'hulu': 1}",1.0,,,,,1.0,,,,,,,,,,,,,,,,
53,48,delia_land,Female,Akron,OH,44311,41.0638,-81.52,1-DAILY,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
54,52,ginny_schafer,Female,Henrietta,TX,76365,33.8196,-98.26,3-FEWER_THREE_PER_MONTH,"{'netflix': 1, 'IMDb TV': 1}",,,,,1.0,,,,,,,,,,1.0,,,,,,,
57,64,alba_berlin,Female,Topeka,KS,66608,39.0858,-95.6867,3-FEWER_THREE_PER_MONTH,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
58,31,ellie_osborne,Female,Huntingtown,MD,20639,38.6095,-76.6003,2-FEW_TIMES_WEEK,{'Apple TV+': 1},,,1.0,,,,,,,,,,,,,,,,,,,
59,37,rafaela_holland,Female,Cranfills Gap,TX,76637,31.7486,-97.8113,2-FEW_TIMES_WEEK,"{'netflix': 1, 'youtube': 1}",,1.0,,,1.0,,,,,,,,,,,,,,,,,
60,40,dominick_schofield,Male,Kane,PA,16735,41.6619,-78.7978,2-FEW_TIMES_WEEK,"{'amazon': 1, 'fuboTV': 1}",,,,,,1.0,1.0,,,,,,,,,,,,,,,
61,77,richie_bunting,Male,Solon Springs,WI,54873,46.4173,-91.811,3-FEWER_THREE_PER_MONTH,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
62,57,dewey_ivey,Male,Riverside,CA,92509,34.0033,-117.445,2-FEW_TIMES_WEEK,"{'hulu': 1, 'Disney+': 1}",1.0,,,,,,,,,,,,,,,1.0,,,,,,
63,25,elvis_herbert,Male,Hartselle,AL,35640,34.4482,-86.9242,1-DAILY,{'Discovery+': 1},,,,,,,,,1.0,,,,,,,,,,,,,
64,57,latasha_grubb,Female,New Orleans,LA,70185,29.9546,-90.0751,3-FEWER_THREE_PER_MONTH,{'amazon': 1},,,,,,,1.0,,,,,,,,,,,,,,,
65,72,lia_castro,Female,Sizerock,KY,41762,37.2187,-83.4974,3-FEWER_THREE_PER_MONTH,{'Philo': 1},,,,,,,,,,,,1.0,,,,,,,,,,
66,34,lettie_haney,Female,Mystic,GA,31769,31.6209,-83.2498,1-DAILY,"{'Starz': 1, 'HBO MAX': 1}",,,,,,,,,,1.0,,,,,,,1.0,,,,,
67,38,amos_clements,Male,Mc Afee,NJ,07428,41.2065,-74.5381,1-DAILY,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
68,51,thaddeus_caraballo,Male,Greenwood,FL,32443,30.8667,-85.1153,3-FEWER_THREE_PER_MONTH,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
69,27,hilario_neil,Male,Highland,NY,12528,41.7167,-73.9928,1-DAILY,"{'Disney+': 1, 'NBC': 1, 'Showtime': 1, 'amazon': 1}",,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,
70,63,levi_camara,Male,Bakersfield,CA,93389,35.2944,-118.9052,2-FEW_TIMES_WEEK,"{'hulu': 1, 'netflix': 1}",1.0,,,,1.0,,,,,,,,,,,,,,,,,
71,48,maritza_hanlon,Female,Dearborn,MO,64439,39.5172,-94.7664,3-FEWER_THREE_PER_MONTH,{'amazon': 1},,,,,,,1.0,,,,,,,,,,,,,,,
72,70,tom_trotter,Male,Grant Park,IL,60940,41.2477,-87.648,2-FEW_TIMES_WEEK,"{'netflix': 1, 'hulu': 1}",1.0,,,,1.0,,,,,,,,,,,,,,,,,
73,55,clarence_connolly,Male,Sledge,MS,38670,34.3823,-90.209,1-DAILY,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
74,29,ester_mcclendon,Female,Fort Irwin,CA,92310,35.2625,-116.6966,3-FEWER_THREE_PER_MONTH,"{'Showtime': 1, 'youtube': 1, 'PlutoTV': 1, 'netflix': 1}",,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,
75,78,jerrod_figueroa,Male,Cincinnati,OH,45238,39.1092,-84.6108,3-FEWER_THREE_PER_MONTH,{'Starz': 1},,,,,,,,,,1.0,,,,,,,,,,,,
76,51,precious_conyers,Female,Cairo,NE,68824,41.0002,-98.6165,3-FEWER_THREE_PER_MONTH,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
77,32,doyle_starkey,Male,Ridgely,MD,21660,38.9568,-75.8848,2-FEW_TIMES_WEEK,"{'netflix': 1, 'HBO MAX': 1, 'amazon': 1}",,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,
78,77,harriette_pearl,Female,Jasper,AL,35503,33.9152,-87.3074,2-FEW_TIMES_WEEK,"{'youtube': 1, 'netflix': 1, 'hulu': 1}",1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
80,22,adelina_landis,Female,Clemson,SC,29632,34.6834,-82.8374,1-DAILY,"{'hulu': 1, 'youtube': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
81,39,louise_stephenson,Female,Huffman,TX,77336,30.0565,-95.1051,1-DAILY,"{'amazon': 1, 'youtube': 1}",,1.0,,,,,1.0,,,,,,,,,,,,,,,
82,62,lenora_velazquez,Female,Arlington,VA,22241,38.8808,-77.1129,2-FEW_TIMES_WEEK,{'Rent or Buy': 1},,,,,,,,,,,,,,,,,,,1.0,,,
83,22,willie_keel,Male,Wayside,TX,79094,34.7928,-101.5471,3-FEWER_THREE_PER_MONTH,"{'youtube': 1, 'Crackle': 1}",,1.0,,,,,,,,,,,1.0,,,,,,,,,
84,63,emmitt_crook,Male,Dinosaur,CO,81633,40.377,-108.399,3-FEWER_THREE_PER_MONTH,"{'FOX': 1, 'youtube': 1}",,1.0,,,,,,,,,,,,,,,,,,1.0,,
85,77,guillermina_meehan,Female,Newgulf,TX,77462,,,1-DAILY,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
86,76,calvin_tisdale,Male,Balfour,ND,58712,47.9685,-100.5209,1-DAILY,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
87,69,virgie_orlando,Female,Tecate,CA,91980,32.5889,-116.6192,2-FEW_TIMES_WEEK,"{'amazon': 1, 'netflix': 1}",,,,,1.0,,1.0,,,,,,,,,,,,,,,
88,69,bradly_varela,Male,Corning,AR,72422,36.4155,-90.587,1-DAILY,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
89,40,jayne_crews,Female,Tornado,WV,25202,38.3357,-81.8476,2-FEW_TIMES_WEEK,"{'amazon': 1, 'netflix': 1}",,,,,1.0,,1.0,,,,,,,,,,,,,,,
92,63,abraham_hite,Male,Houston,TX,77263,29.834,-95.4342,2-FEW_TIMES_WEEK,{'Philo': 1},,,,,,,,,,,,1.0,,,,,,,,,,
93,24,chad_arriola,Male,Salem,VA,24156,,,1-DAILY,"{'youtube': 1, 'netflix': 1, 'Starz': 1}",,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,
94,24,belle_krueger,Female,City Of Industry,CA,91715,34.0197,-117.9587,1-DAILY,"{'youtube': 1, 'netflix': 1}",,1.0,,,1.0,,,,,,,,,,,,,,,,,
95,23,cedric_hardison,Male,Washington,DC,20075,38.8933,-77.0146,2-FEW_TIMES_WEEK,"{'youtube': 1, 'netflix': 1}",,1.0,,,1.0,,,,,,,,,,,,,,,,,
96,43,delbert_dodds,Male,Payson,AZ,85541,34.2198,-111.2878,2-FEW_TIMES_WEEK,{'hulu': 1},1.0,,,,,,,,,,,,,,,,,,,,,
97,39,dustin_payne,Male,Waverly,TN,37185,36.0997,-87.7991,2-FEW_TIMES_WEEK,"{'netflix': 1, 'youtube': 1}",,1.0,,,1.0,,,,,,,,,,,,,,,,,
98,42,antionette_rains,Female,Vilonia,AR,72173,35.0719,-92.1832,1-DAILY,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
99,46,jame_locke,Male,Cedar Bluff,VA,24609,37.0876,-81.759,2-FEW_TIMES_WEEK,"{'hulu': 1, 'youtube': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
100,57,judy_cornejo,Female,Aurora,CO,80042,39.7294,-104.8319,3-FEWER_THREE_PER_MONTH,"{'Crackle': 1, 'netflix': 1}",,,,,1.0,,,,,,,,1.0,,,,,,,,,
101,23,ervin_gould,Male,Dunlap,IA,51529,41.8603,-95.6257,1-DAILY,"{'netflix': 1, 'youtube': 1}",,1.0,,,1.0,,,,,,,,,,,,,,,,,
102,69,viola_griffin,Female,Charleston,WV,25335,38.3498,-81.6326,2-FEW_TIMES_WEEK,"{'amazon': 1, 'CBS All Access': 1}",,,,,,,1.0,,,,,,,1.0,,,,,,,,
103,53,anderson_mulligan,Male,Lincoln,RI,02865,41.9089,-71.4348,2-FEW_TIMES_WEEK,"{'amazon': 1, 'hulu': 1}",1.0,,,,,,1.0,,,,,,,,,,,,,,,
104,47,garland_coy,Male,San Diego,CA,92162,,,1-DAILY,"{'amazon': 1, 'hulu': 1, 'Discovery+': 1}",1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,
105,27,stacey_quintanilla,Female,Wilber,NE,68465,40.4821,-96.9757,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
106,56,natalie_montalvo,Female,Tioga Center,NY,13845,42.0562,-76.348,1-DAILY,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
107,43,derrick_mcclanahan,Male,Bodega Bay,CA,94923,38.3309,-123.0373,1-DAILY,{'Philo': 1},,,,,,,,,,,,1.0,,,,,,,,,,
108,34,alfred_danielson,Male,Crouseville,ME,04738,46.755,-68.0964,2-FEW_TIMES_WEEK,"{'netflix': 1, 'youtube': 1}",,1.0,,,1.0,,,,,,,,,,,,,,,,,
109,51,jewel_ledet,Female,Kansas City,MO,64129,39.0401,-94.4951,1-DAILY,"{'hulu': 1, 'Peacock': 1}",1.0,,,,,,,,,,,,,,,,,,,,1.0,
111,59,gillian_custer,Female,Omaha,NE,68180,41.2586,-95.9378,2-FEW_TIMES_WEEK,{'fuboTV': 1},,,,,,1.0,,,,,,,,,,,,,,,,
112,78,madeleine_schindler,Female,Mingus,TX,76463,32.5381,-98.4219,2-FEW_TIMES_WEEK,{'amazon': 1},,,,,,,1.0,,,,,,,,,,,,,,,
113,71,diego_cannon,Male,Mount Calm,TX,76673,31.7575,-96.8944,3-FEWER_THREE_PER_MONTH,{'Philo': 1},,,,,,,,,,,,1.0,,,,,,,,,,
114,27,denis_solis,Male,Cedarville,CA,96104,41.4759,-120.1516,1-DAILY,"{'Starz': 1, 'netflix': 1}",,,,,1.0,,,,,1.0,,,,,,,,,,,,
115,74,marcelle_call,Female,Concord,VT,05824,44.4461,-71.8676,1-DAILY,{'amazon': 1},,,,,,,1.0,,,,,,,,,,,,,,,
116,34,josie_ross,Female,Palatka,FL,32178,29.6486,-81.6376,1-DAILY,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
117,35,carmen_rawlins,Male,Lawndale,IL,61751,40.2193,-89.2852,2-FEW_TIMES_WEEK,"{'hulu': 1, 'youtube': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
118,44,vera_magnuson,Female,Many,LA,71449,31.5851,-93.4641,1-DAILY,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
119,33,adell_shively,Female,Silverthorne,CO,80498,39.7647,-106.2211,1-DAILY,"{'amazon': 1, 'HBO MAX': 1, 'youtube': 1}",,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,
120,18,mack_summers,Male,Abingdon,IL,61410,40.8023,-90.4009,1-DAILY,{'Philo': 1},,,,,,,,,,,,1.0,,,,,,,,,,
121,72,brandy_cooksey,Female,Midland,TX,79711,31.9973,-102.0779,2-FEW_TIMES_WEEK,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
122,66,mattie_danner,Female,Fort Worth,TX,76135,32.8248,-97.4519,2-FEW_TIMES_WEEK,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
123,76,rosalind_arce,Female,New York,NY,10285,40.7143,-74.006,3-FEWER_THREE_PER_MONTH,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
124,77,alec_archie,Male,Drain,OR,97435,43.6877,-123.2929,1-DAILY,"{'hulu': 1, 'netflix': 1, 'Showtime': 1}",1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,
125,22,kraig_traylor,Male,West Ossipee,NH,03890,43.8118,-71.1946,3-FEWER_THREE_PER_MONTH,"{'youtube': 1, 'netflix': 1, 'Disney+': 1}",,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,
126,68,adam_harbin,Male,Fort Worth,TX,76131,32.8632,-97.3377,1-DAILY,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
127,59,devon_sherry,Male,Dayton,OH,45470,39.7505,-84.2686,2-FEW_TIMES_WEEK,"{'amazon': 1, 'youtube': 1}",,1.0,,,,,1.0,,,,,,,,,,,,,,,
128,61,ray_montalvo,Male,Roxton,TX,75477,33.5429,-95.7416,2-FEW_TIMES_WEEK,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
129,18,odell_power,Male,Crab Orchard,TN,37723,35.9537,-84.8205,2-FEW_TIMES_WEEK,"{'netflix': 1, 'Tubi': 1, 'hulu': 1}",1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0
130,41,elida_bolin,Female,Kenyon,RI,02836,41.4474,-71.6204,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Discovery+': 1}",,1.0,,,,,,,1.0,,,,,,,,,,,,,
131,19,alicia_evans,Female,Jasper,AR,72641,36.0038,-93.2048,1-DAILY,"{'youtube': 1, 'Crackle': 1}",,1.0,,,,,,,,,,,1.0,,,,,,,,,
132,21,stacie_cassidy,Female,Bridgman,MI,49106,41.9362,-86.5543,1-DAILY,"{'netflix': 1, 'youtube': 1}",,1.0,,,1.0,,,,,,,,,,,,,,,,,
133,29,riley_lancaster,Male,Arlington,TX,76010,32.7204,-97.0826,1-DAILY,"{'fuboTV': 1, 'netflix': 1, 'youtube': 1}",,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
134,43,nelson_lattimore,Male,Livingston,WI,53554,42.9044,-90.442,3-FEWER_THREE_PER_MONTH,"{'netflix': 1, 'Disney+': 1, 'hulu': 1}",1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,
135,20,frederick_spooner,Male,Sisseton,SD,57262,45.6732,-97.0715,2-FEW_TIMES_WEEK,"{'HBO MAX': 1, 'amazon': 1}",,,,,,,1.0,,,,,,,,,,1.0,,,,,
136,21,nita_obryan,Female,Wilton,CA,95693,38.3983,-121.2303,1-DAILY,"{'Discovery+': 1, 'hulu': 1, 'amazon': 1}",1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,
137,37,ira_madsen,Male,Linwood,MD,21764,,,2-FEW_TIMES_WEEK,"{'hulu': 1, 'youtube': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
138,71,adrienne_roe,Female,Ogden,IL,61859,40.1401,-87.9665,3-FEWER_THREE_PER_MONTH,"{'Disney+': 1, 'fuboTV': 1}",,,,,,1.0,,,,,,,,,,1.0,,,,,,
139,51,darell_forster,Male,Reno,NV,89557,39.5296,-119.8138,2-FEW_TIMES_WEEK,"{'Crackle': 1, 'youtube': 1, 'amazon': 1}",,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,
140,19,eloisa_ryan,Female,Oaks,PA,19456,40.1318,-75.4596,2-FEW_TIMES_WEEK,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
141,25,maya_fajardo,Female,Boca Grande,FL,33921,26.7545,-82.2611,2-FEW_TIMES_WEEK,"{'netflix': 1, 'youtube': 1}",,1.0,,,1.0,,,,,,,,,,,,,,,,,
142,19,truman_vest,Male,Laredo,TX,78043,27.5879,-99.2176,2-FEW_TIMES_WEEK,"{'fuboTV': 1, 'Showtime': 1}",,,,,,1.0,,,,,1.0,,,,,,,,,,,
143,41,mercedes_maples,Female,Golden,OK,74737,34.0303,-94.8986,1-DAILY,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
144,70,elliot_fitts,Male,Qulin,MO,63961,36.5818,-90.2617,2-FEW_TIMES_WEEK,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
145,64,carolina_quinonez,Female,Whiteland,IN,46184,39.5611,-86.0723,3-FEWER_THREE_PER_MONTH,{'CBS All Access': 1},,,,,,,,,,,,,,1.0,,,,,,,,
146,31,theodore_elder,Male,Charleston,WV,25335,38.3498,-81.6326,1-DAILY,"{'netflix': 1, 'fuboTV': 1, 'Disney+': 1}",,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,
147,49,erin_delacruz,Female,Phoenix,AZ,85045,33.3022,-112.1226,2-FEW_TIMES_WEEK,{'youtube': 1},,1.0,,,,,,,,,,,,,,,,,,,,
148,31,elsie_robbins,Female,Lafox,IL,60147,41.937,-88.4202,1-DAILY,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
149,30,cyrus_lilley,Male,Gainesville,GA,30503,34.3454,-83.9505,2-FEW_TIMES_WEEK,"{'Philo': 1, 'Disney+': 1, 'youtube': 1}",,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,
150,69,hubert_spinks,Male,West Chesterfield,NH,03466,42.8956,-72.5097,1-DAILY,"{'IMDb TV': 1, 'Philo': 1}",,,,,,,,,,,,1.0,,,1.0,,,,,,,
151,26,jennifer_bellamy,Female,Gold Bar,WA,98251,47.8331,-121.6365,3-FEWER_THREE_PER_MONTH,"{'NBC': 1, 'netflix': 1}",,,,,1.0,,,,,,,,,,,,,1.0,,,,
152,21,gavin_purdy,Male,Montgomery,AL,36131,32.2334,-86.2085,3-FEWER_THREE_PER_MONTH,{'netflix': 1},,,,,1.0,,,,,,,,,,,,,,,,,
