row,age,username,first_name,last_name,gender,city,state,zip,freq,services,netflix,amazon,Showtime,youtube,fuboTV,Crackle,Discovery+,CBS All Access,Rent or Buy,Apple TV+,hulu,Philo,FOX,PlutoTV,HBO MAX,Starz,Disney+,IMDb TV,FX,Tubi,NBC,Peacock
24,45,winston_albert,Winston,Albert,Male,Auburn,NY,13022,1-DAILY,"{'youtube': 1, 'amazon': 1}",,1.0,,1.0,,,,,,,,,,,,,,,,,,
25,74,cassie_parsons,Cassie,Parsons,Female,Cameron,NY,14819,2-FEW_TIMES_WEEK,"{'netflix': 1, 'CBS All Access': 1}",1.0,,,,,,,1.0,,,,,,,,,,,,,,
27,71,lizette_heinrich,Lizette,Heinrich,Female,Morgantown,IN,46160,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
28,41,rose_bryan,Rose,Bryan,Female,Melbourne,FL,32940,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
29,33,bobbie_clemente,Bobbie,Clemente,Male,Wayland,OH,44285,1-DAILY,{'Discovery+': 1},,,,,,,1.0,,,,,,,,,,,,,,,
30,47,griselda_gladden,Griselda,Gladden,Female,Weston,MA,02493,2-FEW_TIMES_WEEK,"{'FOX': 1, 'Discovery+': 1}",,,,,,,1.0,,,,,,1.0,,,,,,,,,
31,24,sonja_talley,Sonja,Talley,Female,Chestnut Mountain,GA,30502,2-FEW_TIMES_WEEK,"{'netflix': 1, 'Crackle': 1}",1.0,,,,,1.0,,,,,,,,,,,,,,,,
33,56,tomasa_santoro,Tomasa,Santoro,Female,Pierce,CO,80650,3-FEWER_THREE_PER_MONTH,"{'amazon': 1, 'Philo': 1}",,1.0,,,,,,,,,,1.0,,,,,,,,,,
35,44,gustavo_may,Gustavo,May,Male,Saint Petersburg,FL,33705,3-FEWER_THREE_PER_MONTH,"{'netflix': 1, 'amazon': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
36,43,darnell_schmidt,Darnell,Schmidt,Male,Seminole,PA,16253,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
38,69,mattie_healey,Mattie,Healey,Female,Pompano Beach,FL,33074,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
39,66,stefan_styles,Stefan,Styles,Male,Troy,PA,16947,2-FEW_TIMES_WEEK,"{'HBO MAX': 1, 'Starz': 1}",,,,,,,,,,,,,,,1.0,1.0,,,,,,
40,34,hester_lindstrom,Hester,Lindstrom,Female,Northfork,WV,24868,2-FEW_TIMES_WEEK,"{'youtube': 1, 'netflix': 1, 'amazon': 1}",1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
41,43,nikita_grimes,Nikita,Grimes,Female,Decatur,IN,46733,2-FEW_TIMES_WEEK,"{'hulu': 1, 'netflix': 1}",1.0,,,,,,,,,,1.0,,,,,,,,,,,
42,54,earnestine_tellez,Earnestine,Tellez,Female,Newark,DE,19717,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
43,55,virgina_keene,Virgina,Keene,Female,Oklahoma City,OK,73193,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
44,42,bernice_glaze,Bernice,Glaze,Female,Kennedale,TX,76060,2-FEW_TIMES_WEEK,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
45,39,stuart_seal,Stuart,Seal,Male,Greenwich,CT,06832,2-FEW_TIMES_WEEK,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
46,72,derek_velasco,Derek,Velasco,Male,Guthrie,TX,79236,3-FEWER_THREE_PER_MONTH,"{'youtube': 1, 'Disney+': 1}",,,,1.0,,,,,,,,,,,,,1.0,,,,,
47,72,johnny_glaze,Johnny,Glaze,Male,Westfield,NC,27053,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
48,49,maureen_lacy,Maureen,Lacy,Female,Gresham,WI,54128,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Philo': 1}",,,,1.0,,,,,,,,1.0,,,,,,,,,,
49,39,destiny_lanning,Destiny,Lanning,Female,Piney Woods,MS,39148,1-DAILY,"{'Philo': 1, 'youtube': 1}",,,,1.0,,,,,,,,1.0,,,,,,,,,,
50,18,faye_bland,Faye,Bland,Female,Smilax,KY,41764,1-DAILY,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
51,29,garth_willett,Garth,Willett,Male,Tahoe Vista,CA,96148,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
52,35,howard_zapata,Howard,Zapata,Male,Maidsville,WV,26541,1-DAILY,"{'netflix': 1, 'HBO MAX': 1}",1.0,,,,,,,,,,,,,,1.0,,,,,,,
53,50,augustine_bishop,Augustine,Bishop,Male,Oak Park,CA,91377,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
54,20,pasquale_woodley,Pasquale,Woodley,Male,Hollywood,FL,33083,1-DAILY,"{'netflix': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
55,23,sydney_razo,Sydney,Razo,Male,Perry Hall,MD,21128,1-DAILY,"{'youtube': 1, 'HBO MAX': 1}",,,,1.0,,,,,,,,,,,1.0,,,,,,,
56,41,walton_westbrook,Walton,Westbrook,Male,Laird Hill,TX,75666,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
57,60,darin_lavigne,Darin,Lavigne,Male,Coolidge,AZ,85228,2-FEW_TIMES_WEEK,{'CBS All Access': 1},,,,,,,,1.0,,,,,,,,,,,,,,
58,34,emmett_stamps,Emmett,Stamps,Male,Oakland,MI,48363,3-FEWER_THREE_PER_MONTH,"{'netflix': 1, 'youtube': 1, 'amazon': 1, 'Apple TV+': 1}",1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,
59,76,david_stitt,David,Stitt,Male,Key West,FL,33041,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
60,23,boyce_findley,Boyce,Findley,Male,Detroit,MI,48231,1-DAILY,"{'youtube': 1, 'netflix': 1, 'Apple TV+': 1, 'Discovery+': 1}",1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,
61,63,wilson_john,Wilson,John,Male,Tower City,PA,17980,1-DAILY,{'Discovery+': 1},,,,,,,1.0,,,,,,,,,,,,,,,
63,56,jeanine_brownell,Jeanine,Brownell,Female,Dubuque,IA,52004,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Discovery+': 1}",,,,1.0,,,1.0,,,,,,,,,,,,,,,
64,49,eva_borges,Eva,Borges,Female,Montpelier,ID,83254,2-FEW_TIMES_WEEK,"{'netflix': 1, 'amazon': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
65,53,pilar_maes,Pilar,Maes,Female,Indianapolis,IN,46249,2-FEW_TIMES_WEEK,"{'hulu': 1, 'amazon': 1}",,1.0,,,,,,,,,1.0,,,,,,,,,,,
66,73,javier_rousseau,Javier,Rousseau,Male,Surfside,CA,90743,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
67,55,sharron_callaway,Sharron,Callaway,Female,Salinas,CA,93912,2-FEW_TIMES_WEEK,"{'netflix': 1, 'amazon': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
68,40,tera_cardona,Tera,Cardona,Female,West Islip,NY,11795,2-FEW_TIMES_WEEK,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
69,75,geoffrey_broadway,Geoffrey,Broadway,Male,Canton,OH,44720,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
70,40,saul_strickland,Saul,Strickland,Male,West Olive,MI,49460,2-FEW_TIMES_WEEK,{'fuboTV': 1},,,,,1.0,,,,,,,,,,,,,,,,,
71,62,natalie_melendez,Natalie,Melendez,Female,Ellijay,GA,30540,2-FEW_TIMES_WEEK,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
72,57,theda_ramirez,Theda,Ramirez,Female,Marathon,OH,45145,2-FEW_TIMES_WEEK,"{'PlutoTV': 1, 'youtube': 1}",,,,1.0,,,,,,,,,,1.0,,,,,,,,
74,55,jacques_rivard,Jacques,Rivard,Male,Vista,CA,92084,1-DAILY,"{'hulu': 1, 'amazon': 1}",,1.0,,,,,,,,,1.0,,,,,,,,,,,
75,68,annamarie_colby,Annamarie,Colby,Female,Boca Raton,FL,33427,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
76,20,fred_reagan,Fred,Reagan,Male,Stanwood,MI,49346,1-DAILY,"{'hulu': 1, 'Apple TV+': 1, 'Disney+': 1}",,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,
77,51,aimee_ferro,Aimee,Ferro,Female,Forestville,NY,14062,1-DAILY,"{'youtube': 1, 'amazon': 1}",,1.0,,1.0,,,,,,,,,,,,,,,,,,
78,51,bennie_tindall,Bennie,Tindall,Female,Fostoria,OH,44830,1-DAILY,{'Rent or Buy': 1},,,,,,,,,1.0,,,,,,,,,,,,,
79,46,merle_alcorn,Merle,Alcorn,Male,Hawarden,IA,51023,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
80,44,lenny_cohn,Lenny,Cohn,Male,Garrett,IN,46738,2-FEW_TIMES_WEEK,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
81,21,buck_medrano,Buck,Medrano,Male,Lashmeet,WV,24733,1-DAILY,"{'hulu': 1, 'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,
82,78,harry_baldwin,Harry,Baldwin,Male,Bullhead City,AZ,86429,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
83,41,seymour_santoro,Seymour,Santoro,Male,Donovan,IL,60931,1-DAILY,"{'netflix': 1, 'Rent or Buy': 1}",1.0,,,,,,,,1.0,,,,,,,,,,,,,
84,73,sheryl_cruse,Sheryl,Cruse,Female,Dayton,OH,45422,2-FEW_TIMES_WEEK,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
85,43,dewey_cortez,Dewey,Cortez,Male,Mobile,AL,36614,3-FEWER_THREE_PER_MONTH,"{'hulu': 1, 'youtube': 1}",,,,1.0,,,,,,,1.0,,,,,,,,,,,
86,43,eric_omalley,Eric,Omalley,Male,Honesdale,PA,18431,1-DAILY,"{'hulu': 1, 'youtube': 1}",,,,1.0,,,,,,,1.0,,,,,,,,,,,
87,18,andrea_bertrand,Andrea,Bertrand,Male,Merced,CA,95340,2-FEW_TIMES_WEEK,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
88,58,josiah_chism,Josiah,Chism,Male,Artemus,KY,40903,2-FEW_TIMES_WEEK,{'Discovery+': 1},,,,,,,1.0,,,,,,,,,,,,,,,
89,48,xavier_hawley,Xavier,Hawley,Male,Chicago,IL,60634,3-FEWER_THREE_PER_MONTH,"{'Showtime': 1, 'netflix': 1}",1.0,,1.0,,,,,,,,,,,,,,,,,,,
90,64,antony_bright,Antony,Bright,Male,South Lake Tahoe,CA,96154,1-DAILY,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
91,62,alex_rohr,Alex,Rohr,Male,Stillwater,MN,55082,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
92,67,vincent_jansen,Vincent,Jansen,Male,Spencer,IN,47460,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
93,51,katy_french,Katy,French,Female,Bogart,GA,30622,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
94,35,misti_call,Misti,Call,Female,Stantonsburg,NC,27883,1-DAILY,"{'netflix': 1, 'Crackle': 1}",1.0,,,,,1.0,,,,,,,,,,,,,,,,
95,33,mayme_orozco,Mayme,Orozco,Female,Louisiana,MO,63353,2-FEW_TIMES_WEEK,"{'netflix': 1, 'youtube': 1, 'FOX': 1}",1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,
96,29,clarissa_irby,Clarissa,Irby,Female,Shelbyville,TN,37162,1-DAILY,{'Philo': 1},,,,,,,,,,,,1.0,,,,,,,,,,
97,52,lashonda_barker,Lashonda,Barker,Female,Medford,NY,11763,2-FEW_TIMES_WEEK,{'PlutoTV': 1},,,,,,,,,,,,,,1.0,,,,,,,,
98,58,milford_liles,Milford,Liles,Male,Sweetwater,TN,37874,3-FEWER_THREE_PER_MONTH,"{'youtube': 1, 'amazon': 1}",,1.0,,1.0,,,,,,,,,,,,,,,,,,
100,28,freddy_redding,Freddy,Redding,Male,La Vergne,TN,37089,1-DAILY,{'CBS All Access': 1},,,,,,,,1.0,,,,,,,,,,,,,,
101,37,cornell_mathis,Cornell,Mathis,Male,Lincoln,NE,68505,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
102,58,nita_minnick,Nita,Minnick,Female,Vera,OK,74082,2-FEW_TIMES_WEEK,{'Showtime': 1},,,1.0,,,,,,,,,,,,,,,,,,,
103,49,darrell_holloman,Darrell,Holloman,Male,Palm City,FL,34991,3-FEWER_THREE_PER_MONTH,"{'hulu': 1, 'netflix': 1}",1.0,,,,,,,,,,1.0,,,,,,,,,,,
104,33,jerold_benefield,Jerold,Benefield,Male,Noblesville,IN,46061,2-FEW_TIMES_WEEK,"{'IMDb TV': 1, 'hulu': 1, 'netflix': 1}",1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,
105,30,thelma_burroughs,Thelma,Burroughs,Female,Jacksonville,FL,32241,3-FEWER_THREE_PER_MONTH,"{'Philo': 1, 'amazon': 1, 'netflix': 1, 'hulu': 1}",1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,
106,32,patti_bernier,Patti,Bernier,Female,Tannersville,NY,12485,1-DAILY,"{'Philo': 1, 'hulu': 1}",,,,,,,,,,,1.0,1.0,,,,,,,,,,
107,27,pansy_labbe,Pansy,Labbe,Female,Grand Marais,MI,49839,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
108,26,brenna_hamer,Brenna,Hamer,Female,Oilville,VA,23129,1-DAILY,"{'Philo': 1, 'hulu': 1, 'amazon': 1}",,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,
109,76,tabatha_ly,Tabatha,Ly,Female,Springville,AL,35146,3-FEWER_THREE_PER_MONTH,"{'fuboTV': 1, 'netflix': 1}",1.0,,,,1.0,,,,,,,,,,,,,,,,,
110,29,leon_mullen,Leon,Mullen,Male,Smith Lake,NM,87365,1-DAILY,"{'HBO MAX': 1, 'youtube': 1}",,,,1.0,,,,,,,,,,,1.0,,,,,,,
111,79,merlin_berger,Merlin,Berger,Male,Granby,MO,64844,2-FEW_TIMES_WEEK,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
112,27,loren_faust,Loren,Faust,Female,Greenville,SC,29612,3-FEWER_THREE_PER_MONTH,"{'Starz': 1, 'PlutoTV': 1, 'netflix': 1, 'hulu': 1}",1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,
113,42,laverne_fenton,Laverne,Fenton,Male,Ellington,NY,14732,1-DAILY,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
114,47,tim_ly,Tim,Ly,Male,Medicine Bow,WY,82329,1-DAILY,"{'Disney+': 1, 'youtube': 1, 'amazon': 1}",,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,
115,43,lisette_schmidt,Lisette,Schmidt,Female,Helena,OK,73741,3-FEWER_THREE_PER_MONTH,"{'CBS All Access': 1, 'youtube': 1, 'amazon': 1}",,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,
116,67,abbie_ireland,Abbie,Ireland,Female,Gainesville,GA,30504,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
117,28,rayford_wolford,Rayford,Wolford,Male,Rialto,CA,92376,2-FEW_TIMES_WEEK,"{'netflix': 1, 'Discovery+': 1, 'FX': 1}",1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,
118,64,kevin_hunt,Kevin,Hunt,Male,Austin,TX,78765,1-DAILY,"{'netflix': 1, 'Apple TV+': 1}",1.0,,,,,,,,,1.0,,,,,,,,,,,,
119,36,sergio_caskey,Sergio,Caskey,Male,Peabody,MA,01960,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Tubi': 1, 'CBS All Access': 1, 'hulu': 1}",,,,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,
120,30,raymundo_salyer,Raymundo,Salyer,Male,Joseph City,AZ,86032,1-DAILY,"{'youtube': 1, 'Philo': 1, 'Discovery+': 1, 'IMDb TV': 1, 'CBS All Access': 1}",,,,1.0,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,
121,74,samual_kimball,Samual,Kimball,Male,Rensselaer Falls,NY,13680,2-FEW_TIMES_WEEK,"{'youtube': 1, 'CBS All Access': 1, 'Discovery+': 1}",,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
122,43,noe_peters,Noe,Peters,Male,Callaway,VA,24067,2-FEW_TIMES_WEEK,"{'hulu': 1, 'netflix': 1}",1.0,,,,,,,,,,1.0,,,,,,,,,,,
123,73,zelda_myers,Zelda,Myers,Female,New Gretna,NJ,08224,3-FEWER_THREE_PER_MONTH,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
124,60,adrienne_combs,Adrienne,Combs,Female,Granton,WI,54436,2-FEW_TIMES_WEEK,"{'youtube': 1, 'amazon': 1}",,1.0,,1.0,,,,,,,,,,,,,,,,,,
125,19,catherine_walling,Catherine,Walling,Female,Douglas,AZ,85607,1-DAILY,"{'HBO MAX': 1, 'hulu': 1, 'IMDb TV': 1}",,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,
126,52,ahmed_waldron,Ahmed,Waldron,Male,Eaton,TN,38331,1-DAILY,"{'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
127,25,lidia_briggs,Lidia,Briggs,Female,Corinth,NY,12822,1-DAILY,"{'hulu': 1, 'amazon': 1}",,1.0,,,,,,,,,1.0,,,,,,,,,,,
128,50,demarcus_blackburn,Demarcus,Blackburn,Male,Bayport,MN,55003,2-FEW_TIMES_WEEK,{'Philo': 1},,,,,,,,,,,,1.0,,,,,,,,,,
129,41,dominique_hess,Dominique,Hess,Male,Hanamaulu,HI,96715,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
130,50,annemarie_meadows,Annemarie,Meadows,Female,Boswell,OK,74727,3-FEWER_THREE_PER_MONTH,"{'hulu': 1, 'netflix': 1}",1.0,,,,,,,,,,1.0,,,,,,,,,,,
131,38,rufus_kenney,Rufus,Kenney,Male,Dungannon,VA,24245,1-DAILY,"{'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
132,21,rosalinda_hitchcock,Rosalinda,Hitchcock,Female,Alpharetta,GA,30022,3-FEWER_THREE_PER_MONTH,"{'NBC': 1, 'netflix': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,
133,70,nedra_espinal,Nedra,Espinal,Female,Warren,MI,48089,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Discovery+': 1}",,,,1.0,,,1.0,,,,,,,,,,,,,,,
135,49,rene_agnew,Rene,Agnew,Female,Nacogdoches,TX,75963,2-FEW_TIMES_WEEK,"{'netflix': 1, 'Discovery+': 1}",1.0,,,,,,1.0,,,,,,,,,,,,,,,
136,65,freddy_bruno,Freddy,Bruno,Male,Port Orange,FL,32129,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
137,50,ann_thorn,Ann,Thorn,Female,Sparta,OH,43350,2-FEW_TIMES_WEEK,"{'netflix': 1, 'fuboTV': 1}",1.0,,,,1.0,,,,,,,,,,,,,,,,,
138,32,rosalba_gagnon,Rosalba,Gagnon,Female,Truro,IA,50257,1-DAILY,"{'youtube': 1, 'Starz': 1}",,,,1.0,,,,,,,,,,,,1.0,,,,,,
139,54,erasmo_mowery,Erasmo,Mowery,Male,Mascoutah,IL,62258,2-FEW_TIMES_WEEK,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
140,51,gaye_weiss,Gaye,Weiss,Female,Lampeter,PA,17537,3-FEWER_THREE_PER_MONTH,"{'hulu': 1, 'Apple TV+': 1}",,,,,,,,,,1.0,1.0,,,,,,,,,,,
141,24,tammi_gustafson,Tammi,Gustafson,Female,Englewood,OH,45322,1-DAILY,"{'netflix': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
142,71,latonya_patino,Latonya,Patino,Female,Leslie,WV,25972,2-FEW_TIMES_WEEK,"{'netflix': 1, 'amazon': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
143,78,francesca_cronin,Francesca,Cronin,Female,Yeoman,IN,47997,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
144,31,mikel_bostic,Mikel,Bostic,Male,Sheffield,MA,01257,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
145,30,monty_denman,Monty,Denman,Male,Rowe,NM,87562,3-FEWER_THREE_PER_MONTH,"{'CBS All Access': 1, 'youtube': 1}",,,,1.0,,,,1.0,,,,,,,,,,,,,,
146,63,daniel_colvin,Daniel,Colvin,Male,Fenton,LA,70640,1-DAILY,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
147,50,roxana_nixon,Roxana,Nixon,Female,Knob Lick,KY,42154,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Philo': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,
148,57,shameka_irvin,Shameka,Irvin,Female,Tuscarora,PA,17982,2-FEW_TIMES_WEEK,"{'Philo': 1, 'youtube': 1}",,,,1.0,,,,,,,,1.0,,,,,,,,,,
149,79,erlinda_durkin,Erlinda,Durkin,Female,Rexburg,ID,83460,2-FEW_TIMES_WEEK,{'Apple TV+': 1},,,,,,,,,,1.0,,,,,,,,,,,,
150,42,joyce_alfonso,Joyce,Alfonso,Female,Woodward,OK,73801,3-FEWER_THREE_PER_MONTH,"{'fuboTV': 1, 'netflix': 1}",1.0,,,,1.0,,,,,,,,,,,,,,,,,
151,21,dorsey_sandlin,Dorsey,Sandlin,Male,Center Sandwich,NH,03227,1-DAILY,"{'netflix': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
